====================================================================================================
COLDCARD Mk3 RNG EXPLOIT — DRAIN TIMELINE ANALYSIS (FULL, 100% COVERAGE)
====================================================================================================
Date: 2026-08-26 19:30
Addresses analyzed: 35,066 (of 35,188 victims)
  Unique drain dates: 1,899
  Total drained (first-drain sum): 10230.95 BTC
  Drain waves (>=10 addr/day, gap<=2d): 368
====================================================================================================

DRAIN WAVES
----------------------------------------------------------------------------------------------------
Wave 1: 2021-05-11 | 13 addresses | 7.08 BTC
2021-05-04           3         0.52        21.56
2021-05-06           3         7.00        28.56
2021-05-07           8         0.91        29.47
2021-05-08           2         0.00        29.47
2021-05-09           3         0.67        30.13
2021-05-10           3         0.02        30.15
2021-05-11          13         7.08        37.23
2021-05-12           2         2.92        40.15
2021-05-14           2         0.00        40.15
2021-05-16           8         3.30        43.45
2021-05-17           7         0.12        43.57
2021-05-18           1         0.00        43.58
2021-05-19           2         6.95        50.53
2021-05-20           5         7.30        57.83
2021-05-22           4         0.83        58.66
2021-05-23           1         0.00        58.66
2021-05-24          12        29.44        88.11
2021-05-25           3         0.11        88.21
2021-05-27           7         1.83        90.04
2021-05-28           7         9.53        99.57
2021-05-29           6        15.10       114.67
2021-05-30           3         0.00       114.68
2021-05-31           3         0.10       114.78
2021-06-01           1         0.00       114.78
2021-06-02           3         0.09       114.86
2021-06-03           2         0.02       114.88
2021-06-04           3         1.16       116.04
2021-06-05           4         0.06       116.10
2021-06-06           4         0.00       116.10
2021-06-07           1         0.08       116.18
2021-06-08           8         1.79       117.97
2021-06-09           6        13.37       131.34
2021-06-10           1         0.05       131.38
2021-06-11           6         0.40       131.78
2021-06-12           3         0.01       131.79
2021-06-13          16         0.61       132.40
2021-06-14           2         0.01       132.41
2021-06-15           2         0.02       132.43
2021-06-16           1         0.01       132.44
2021-06-18           7         0.10       132.55
2021-06-19           3         0.00       132.55
2021-06-21           2         0.00       132.55
2021-06-22           1         0.01       132.56
2021-06-24           4         0.12       132.68
2021-06-25           8         0.33       133.01
2021-06-26           5         0.05       133.06
2021-06-27           1         0.00       133.06
2021-06-28           4         0.04       133.10
2021-06-29           5         0.17       133.27
2021-06-30           2         0.03       133.30
2021-07-01           2         3.52       136.82
2021-07-02           7         0.04       136.86
2021-07-03           3         0.00       136.86
2021-07-04           6         0.07       136.93
2021-07-05           6         0.09       137.02
2021-07-06           1         0.00       137.02
2021-07-07           2         2.52       139.53
2021-07-08           2         0.00       139.54
2021-07-10           3         0.01       139.54
2021-07-11           3         0.30       139.84
2021-07-12           6         0.99       140.83
2021-07-13           1         0.04       140.87
2021-07-14           6         0.07       140.94
2021-07-15           4         0.10       141.04
2021-07-16          15         1.36       142.40
2021-07-17           4         0.00       142.40
2021-07-18           8         0.55       142.96
2021-07-19           4        22.62       165.57
2021-07-20           2         0.15       165.72
2021-07-21           5         0.18       165.90
2021-07-22           2         0.00       165.90
2021-07-23           1         0.00       165.90
2021-07-24           1         0.02       165.93
2021-07-25           6         0.04       165.97
2021-07-26           3         0.01       165.98
2021-07-27           7         0.01       165.99
2021-07-28           3         0.07       166.06
2021-07-29           1         0.00       166.06
2021-07-30           6         1.28       167.34
2021-07-31          18         0.23       167.56
2021-08-01           5         0.15       167.72
2021-08-02           9         2.52       170.24
2021-08-03          12        12.10       182.34
2021-08-04           2         0.00       182.34
2021-08-05           6         0.07       182.41
2021-08-06           4         0.11       182.52
2021-08-07           1         0.01       182.52
2021-08-08           5         0.19       182.72
2021-08-09          10         0.57       183.28
2021-08-10           7         9.02       192.30
2021-08-11           5         0.02       192.32
2021-08-12           5        10.11       202.43
2021-08-13           7         1.69       204.13
2021-08-14           2         8.77       212.90
2021-08-15           5         2.41       215.31
2021-08-16          14        12.11       227.42
2021-08-17           1         0.00       227.42
2021-08-18           6         0.26       227.68
2021-08-19           3         5.10       232.78
2021-08-20           5         0.32       233.10
2021-08-21           6         0.05       233.15
2021-08-22           4         0.98       234.13
2021-08-23           8         2.12       236.25
2021-08-24           5        10.11       246.37
2021-08-25           3         0.02       246.39
2021-08-26           6         0.01       246.40
2021-08-27           2         3.92       250.32
2021-08-28           4         0.02       250.34
2021-08-29           7         0.05       250.39
2021-08-30           2         0.00       250.39
2021-08-31           4         0.00       250.39
2021-09-01           7         1.02       251.41
2021-09-02           4         9.78       261.18
2021-09-03           3         0.00       261.19
2021-09-04           6         2.52       263.71
2021-09-05           7         1.51       265.22
2021-09-06           6         0.70       265.92
2021-09-07           3         0.00       265.93
2021-09-08           9         0.12       266.05
2021-09-09           4         0.03       266.08
2021-09-10           9        18.30       284.38
2021-09-11           4         0.01       284.39
2021-09-12           9         1.24       285.63
2021-09-13           3         0.04       285.67
2021-09-14           5         1.39       287.06
2021-09-15           2         0.01       287.07
2021-09-16           8         2.46       289.53
2021-09-17           3         0.00       289.53
2021-09-18           5         0.35       289.88
2021-09-19          13         2.35       292.23
2021-09-20           4         0.77       293.00
2021-09-21          16        26.04       319.05
2021-09-22           7         2.95       321.99
2021-09-23          10         2.83       324.82
2021-09-24          11         2.95       327.77
2021-09-25           3         0.00       327.77
2021-09-26          17         0.59       328.37
2021-09-27          10         1.91       330.28
2021-09-28          11         4.14       334.42
2021-09-29           3         6.06       340.48
2021-09-30           6         3.08       343.56
2021-10-01           3        22.91       366.47
2021-10-02           7         3.00       369.47
2021-10-03           3         0.00       369.47
2021-10-04           3         0.02       369.49
2021-10-05          10         0.46       369.95
2021-10-06           1         0.00       369.95
2021-10-07           4         0.38       370.33
2021-10-08          22         4.75       375.07
2021-10-09          13         2.18       377.25
2021-10-10           9         4.10       381.35
2021-10-11           4         1.00       382.36
2021-10-12           7         2.03       384.38
2021-10-13           5         0.56       384.94
2021-10-14          13         2.70       387.65
2021-10-15          11         0.57       388.21
2021-10-16          13         1.41       389.62
2021-10-17           7         9.03       398.65
2021-10-18          11         0.58       399.23
2021-10-19          13        16.31       415.53
2021-10-20          15        19.13       434.66
2021-10-21          13        13.94       448.60
2021-10-22          22         5.41       454.01
2021-10-23          26         2.10       456.11
2021-10-24          39         5.77       461.88
2021-10-25          23         9.24       471.13
2021-10-26           2         0.00       471.13
2021-10-27          11         3.12       474.25
2021-10-28           5         0.56       474.81
2021-10-29           7         8.76       483.58
2021-10-30           3         7.54       491.11
2021-10-31           2         0.03       491.14
2021-11-01           1         0.00       491.14
2021-11-02           7         9.16       500.31
2021-11-03           7         0.94       501.25
2021-11-04           2         0.57       501.82
2021-11-05          13         1.06       502.88
2021-11-06           4         0.52       503.40
2021-11-07           9         2.53       505.93
2021-11-08           5         0.89       506.82
2021-11-09           8         0.29       507.10
2021-11-10          22         9.04       516.14
2021-11-11           6         4.10       520.25
2021-11-12           7         1.16       521.41
2021-11-13          16         0.26       521.67
2021-11-14          17         4.32       526.00
2021-11-15          18         9.77       535.77
2021-11-16           8         4.58       540.35
2021-11-17           5         0.02       540.36
2021-11-18          21        12.98       553.34
2021-11-19          15         1.26       554.60
2021-11-20          33         1.51       556.12
2021-11-21          20         0.58       556.70
2021-11-22          33        11.76       568.46
2021-11-23          33        10.13       578.60
2021-11-24          15         1.13       579.73
2021-11-25          16         3.73       583.46
2021-11-26           8         0.31       583.77
2021-11-27          12         4.71       588.48
2021-11-28           9         0.28       588.76
2021-11-29           2         0.01       588.77
2021-11-30           6         8.60       597.37
2021-12-01           9        22.38       619.75
2021-12-02           7         8.73       628.48
2021-12-03          28        16.83       645.31
2021-12-04           2         0.08       645.39
2021-12-05          15        18.11       663.50
2021-12-06           6         0.11       663.61
2021-12-07          12        20.52       684.13
2021-12-08          20         2.96       687.08
2021-12-09          10         3.25       690.33
2021-12-10           5         8.32       698.65
2021-12-11           9         0.59       699.23
2021-12-12           9         0.45       699.68
2021-12-13           7         1.01       700.69
2021-12-14           5         1.25       701.94
2021-12-15           5         2.30       704.24
2021-12-16          12         0.35       704.59
2021-12-17          17         3.74       708.34
2021-12-18           9        11.97       720.31
2021-12-19          11        11.24       731.55
2021-12-20           7         0.83       732.38
2021-12-21          19         1.34       733.72
2021-12-22          40         1.49       735.21
2021-12-23          13         3.08       738.29
2021-12-24           7         0.00       738.29
2021-12-25          38         1.15       739.44
2021-12-26          12         1.56       741.00
2021-12-27          15         0.42       741.42
2021-12-28           7         0.04       741.46
2021-12-29          16         4.80       746.26
2021-12-30           7         1.20       747.46
2021-12-31          20        27.27       774.73
2022-01-01           4         0.29       775.02
2022-01-02           5         0.06       775.08
2022-01-03           9         3.97       779.05
2022-01-04          12         9.35       788.39
2022-01-05           9         4.37       792.77
2022-01-06          26         7.21       799.98
2022-01-07           2         0.00       799.98
2022-01-08           8         0.38       800.35
2022-01-09          11         0.04       800.39
2022-01-10          18        10.96       811.35
2022-01-11           8         0.29       811.64
2022-01-12          12         3.60       815.24
2022-01-13           6         1.84       817.09
2022-01-14           8         8.41       825.50
2022-01-15          13         3.20       828.70
2022-01-16          10         0.93       829.63
2022-01-17          12         1.46       831.09
2022-01-18           6         0.13       831.22
2022-01-19           7         0.03       831.25
2022-01-20           9         0.28       831.53
2022-01-21          28         6.28       837.81
2022-01-22          17         1.68       839.49
2022-01-23           8         2.46       841.95
2022-01-24           4         0.01       841.96
2022-01-25          10         1.66       843.62
2022-01-26           1         0.11       843.73
2022-01-27          16         0.62       844.36
2022-01-28           7         2.61       846.96
2022-01-29          16         0.71       847.68
2022-01-30          10         0.63       848.31
2022-01-31          14         0.13       848.44
2022-02-01           4         0.67       849.11
2022-02-02           7        12.12       861.23
2022-02-03           7         0.45       861.68
2022-02-04           6         6.45       868.14
2022-02-05          51         4.88       873.02
2022-02-06          20        26.83       899.85
2022-02-07          11         0.89       900.75
2022-02-08           8         8.63       909.38
2022-02-09           7         2.88       912.26
2022-02-10           3         0.04       912.30
2022-02-11          13         1.61       913.91
2022-02-12           8         0.39       914.30
2022-02-13          23        12.14       926.44
2022-02-14           5         0.01       926.44
2022-02-15          14         0.34       926.79
2022-02-16           8         0.88       927.66
2022-02-17          12         0.69       928.36
2022-02-18          17         3.82       932.17
2022-02-19          18         1.21       933.38
2022-02-20          16         2.80       936.18
2022-02-21          16         1.24       937.42
2022-02-22          26         1.52       938.94
2022-02-23          35         1.07       940.01
2022-02-24          14         1.19       941.20
2022-02-25          27         0.76       941.96
2022-02-26          11         0.52       942.49
2022-02-27          10         1.25       943.74
2022-02-28          37         6.15       949.89
2022-03-01           4         0.15       950.04
2022-03-02          15         0.51       950.55
2022-03-03          19         2.73       953.28
2022-03-04          13         0.66       953.93
2022-03-05          19         0.37       954.30
2022-03-06          14         0.96       955.26
2022-03-07           7         0.18       955.45
2022-03-08          19         0.51       955.96
2022-03-09          61        18.94       974.90
2022-03-10          18         0.36       975.26
2022-03-11          25         3.32       978.57
2022-03-12          26         1.58       980.15
2022-03-13           8         0.20       980.35
2022-03-14          16         1.94       982.29
2022-03-15          45         2.89       985.18
2022-03-16          19         5.38       990.56
2022-03-17          22         1.08       991.64
2022-03-18          11         0.12       991.77
2022-03-19          10         0.04       991.81
2022-03-20           9         0.38       992.19
2022-03-21          10        10.46      1002.65
2022-03-22           4         0.12      1002.76
2022-03-23          14         1.72      1004.48
2022-03-24          21         0.14      1004.62
2022-03-25          15         2.21      1006.83
2022-03-26          30         3.06      1009.89
2022-03-27          34         9.33      1019.23
2022-03-28          29         1.05      1020.28
2022-03-29          20         0.53      1020.81
2022-03-30          11         1.69      1022.50
2022-03-31           8         0.14      1022.64
2022-04-01          36         2.49      1025.13
2022-04-02          19         0.58      1025.71
2022-04-03          10         0.94      1026.65
2022-04-04          13         0.43      1027.08
2022-04-05          18         1.08      1028.17
2022-04-06           7         0.03      1028.20
2022-04-07          22        20.82      1049.02
2022-04-08          31         0.96      1049.99
2022-04-09          44         1.78      1051.77
2022-04-10          24         5.18      1056.95
2022-04-11          16         8.26      1065.21
2022-04-12          31         0.59      1065.81
2022-04-13           6         1.33      1067.14
2022-04-14          12        22.34      1089.48
2022-04-15           2         0.07      1089.55
2022-04-16          13         0.07      1089.63
2022-04-17          18         0.11      1089.73
2022-04-18           8         1.74      1091.47
2022-04-19           2         0.10      1091.58
2022-04-20           6         0.57      1092.14
2022-04-21          15         0.68      1092.82
2022-04-22           5         0.17      1092.99
2022-04-23          28         2.53      1095.53
2022-04-24          13         0.50      1096.03
2022-04-25          12         1.58      1097.61
2022-04-26          10         3.87      1101.47
2022-04-27          26         2.28      1103.75
2022-04-28           5         0.11      1103.86
2022-04-29           8         0.74      1104.60
2022-04-30          22         3.85      1108.45
2022-05-01          24         0.59      1109.04
2022-05-02          22        21.71      1130.75
2022-05-03           7         0.29      1131.04
2022-05-04           1         0.00      1131.04
2022-05-05          13         3.49      1134.53
2022-05-06          15         1.01      1135.54
2022-05-07          14         0.17      1135.71
2022-05-08          64         4.39      1140.10
2022-05-09          20         2.90      1143.00
2022-05-10          12         0.16      1143.16
2022-05-11          16        14.87      1158.03
2022-05-12          20         5.81      1163.84
2022-05-13           8         1.03      1164.87
2022-05-14           9         3.94      1168.81
2022-05-15          46         6.44      1175.25
2022-05-16          12         2.85      1178.10
2022-05-17          12         0.46      1178.56
2022-05-18          13         0.82      1179.37
2022-05-19           9         0.71      1180.09
2022-05-20           3         0.03      1180.11
2022-05-21          31         0.77      1180.88
2022-05-22           4         0.05      1180.93
2022-05-23           6         0.17      1181.10
2022-05-24          13         1.02      1182.12
2022-05-25           9         2.44      1184.56
2022-05-26           7         0.56      1185.12
2022-05-27          19         3.96      1189.08
2022-05-28          11         0.29      1189.37
2022-05-29          15         1.54      1190.91
2022-05-30          63         0.18      1191.09
2022-05-31          15         5.91      1197.01
2022-06-01          13         0.16      1197.17
2022-06-02           3         0.02      1197.18
2022-06-03          13         1.35      1198.54
2022-06-04           4         0.13      1198.67
2022-06-05           9         0.46      1199.13
2022-06-06          12         0.59      1199.72
2022-06-07           9         0.06      1199.78
2022-06-08           3         0.28      1200.06
2022-06-09           7         0.40      1200.45
2022-06-10           5         1.13      1201.58
2022-06-11          15         3.32      1204.90
2022-06-12          14         1.24      1206.14
2022-06-13          12         2.65      1208.79
2022-06-14          15         5.49      1214.28
2022-06-15          59         2.76      1217.04
2022-06-16           2         0.11      1217.14
2022-06-17          16         2.31      1219.45
2022-06-18          15        13.55      1233.00
2022-06-19          15         0.39      1233.39
2022-06-20           7         0.04      1233.43
2022-06-21           5         0.58      1234.00
2022-06-22           4         0.11      1234.11
2022-06-23          39         1.43      1235.54
2022-06-24          17         0.18      1235.72
2022-06-25           3         1.86      1237.57
2022-06-26           8         1.12      1238.69
2022-06-27           5         0.18      1238.87
2022-06-28          11         0.33      1239.20
2022-06-29          13         1.55      1240.75
2022-06-30          26         6.26      1247.01
2022-07-01          32         0.98      1248.00
2022-07-02          19         2.70      1250.70
2022-07-03          21         0.83      1251.53
2022-07-04          16         0.87      1252.40
2022-07-05          42         1.04      1253.44
2022-07-06          11         8.18      1261.62
2022-07-07          23         1.83      1263.45
2022-07-08          15        32.79      1296.25
2022-07-09          13         0.01      1296.26
2022-07-10           8         7.23      1303.49
2022-07-11           4         0.11      1303.60
2022-07-12           9         1.40      1305.00
2022-07-13          15         3.37      1308.37
2022-07-14           6         0.41      1308.77
2022-07-15          16         3.04      1311.82
2022-07-16          22         0.41      1312.23
2022-07-17           1         0.12      1312.34
2022-07-18           5         0.86      1313.20
2022-07-19          18         0.33      1313.53
2022-07-20           9        37.47      1351.00
2022-07-21          14        12.23      1363.23
2022-07-22           6         0.12      1363.35
2022-07-23           2         0.15      1363.51
2022-07-24           2         3.70      1367.21
2022-07-25          32         1.42      1368.63
2022-07-26          23         1.62      1370.25
2022-07-27          68        23.29      1393.55
2022-07-28          19         1.05      1394.60
2022-07-29           8         0.26      1394.86
2022-07-30          10         0.57      1395.42
2022-07-31          16         3.81      1399.23
2022-08-01           8         2.88      1402.11
2022-08-02          10         0.53      1402.64
2022-08-03           2         0.36      1403.00
2022-08-04          20         1.53      1404.53
2022-08-05           9         1.91      1406.44
2022-08-07           7         5.59      1412.03
2022-08-08           6         2.79      1414.82
2022-08-09           7         0.64      1415.46
2022-08-10          14         9.22      1424.68
2022-08-11           3         0.68      1425.36
2022-08-12           1         1.22      1426.58
2022-08-13           5         2.79      1429.38
2022-08-14           7         0.97      1430.34
2022-08-15           4         1.14      1431.48
2022-08-16           1         0.13      1431.61
2022-08-17          13         1.65      1433.26
2022-08-18           8         1.55      1434.82
2022-08-19           3         0.21      1435.03
2022-08-20           6         2.30      1437.33
2022-08-21          11         6.39      1443.72
2022-08-22           4         0.34      1444.06
2022-08-23          20         1.44      1445.50
2022-08-24           5         2.13      1447.63
2022-08-25          14         2.61      1450.25
2022-08-26          11         1.02      1451.26
2022-08-27           3        31.97      1483.24
2022-08-28          19         0.91      1484.15
2022-08-29           6         0.57      1484.71
2022-08-30          18         0.13      1484.84
2022-08-31          11         5.32      1490.16
2022-09-01          18         1.43      1491.59
2022-09-02           9         5.02      1496.61
2022-09-03          16         1.05      1497.66
2022-09-04          10         0.98      1498.64
2022-09-05           7         0.09      1498.74
2022-09-06           1         0.00      1498.74
2022-09-07           4         0.04      1498.78
2022-09-08          67         0.22      1499.00
2022-09-09          22        18.55      1517.55
2022-09-10           8         1.27      1518.82
2022-09-11           2         1.28      1520.11
2022-09-12          14         5.82      1525.93
2022-09-13           2         0.05      1525.98
2022-09-14           1         0.03      1526.01
2022-09-15          14        12.84      1538.85
2022-09-16           6         2.72      1541.57
2022-09-17           4         2.81      1544.37
2022-09-18          14         1.34      1545.72
2022-09-19           9         9.97      1555.69
2022-09-20           5         0.92      1556.60
2022-09-21           8         1.30      1557.91
2022-09-22          12         1.74      1559.65
2022-09-23           6         3.09      1562.73
2022-09-24           6         1.66      1564.39
2022-09-25           5         0.82      1565.22
2022-09-26           2         0.24      1565.46
2022-09-27           8         0.20      1565.66
2022-09-28           5         0.89      1566.56
2022-09-29          10         0.55      1567.10
2022-09-30           5         0.78      1567.88
2022-10-01          13         1.20      1569.09
2022-10-02           3         0.19      1569.28
2022-10-03           2         1.13      1570.41
2022-10-04           9         0.62      1571.03
2022-10-05           1         0.02      1571.05
2022-10-06          14         2.25      1573.29
2022-10-07          23         3.19      1576.48
2022-10-08           4         0.16      1576.65
2022-10-09           2         0.00      1576.65
2022-10-10           3         0.25      1576.90
2022-10-11           2         0.36      1577.26
2022-10-12           5         0.43      1577.68
2022-10-13          10         0.01      1577.69
2022-10-14           6         1.03      1578.72
2022-10-15           9        56.01      1634.73
2022-10-16          29         0.27      1635.00
2022-10-17          10         2.14      1637.14
2022-10-18           8         1.63      1638.76
2022-10-19          14         0.36      1639.12
2022-10-20          18         0.47      1639.60
2022-10-21           6         0.21      1639.81
2022-10-22          10        36.87      1676.67
2022-10-23           8         0.03      1676.70
2022-10-24           6         0.01      1676.71
2022-10-25           4         0.39      1677.10
2022-10-26          74        23.76      1700.87
2022-10-27          12         1.10      1701.97
2022-10-28           8         0.43      1702.39
2022-10-29           3         0.22      1702.61
2022-10-30          17         3.52      1706.14
2022-10-31          18        14.70      1720.83
2022-11-01           7         1.38      1722.22
2022-11-02          12        31.68      1753.90
2022-11-03          22         2.05      1755.95
2022-11-04           6         0.11      1756.06
2022-11-05          16         0.07      1756.13
2022-11-06          21         7.51      1763.64
2022-11-07          13        10.21      1773.85
2022-11-08           7         9.56      1783.41
2022-11-09          16         9.58      1792.99
2022-11-10           4         1.01      1793.99
2022-11-11          37         8.19      1802.18
2022-11-12           6         1.05      1803.24
2022-11-13           2         0.02      1803.26
2022-11-14           4         0.03      1803.29
2022-11-15          19        23.04      1826.33
2022-11-16          19         1.19      1827.51
2022-11-17          13         1.70      1829.21
2022-11-18           2         0.25      1829.46
2022-11-19           3         0.01      1829.47
2022-11-20           3         1.31      1830.78
2022-11-21          32         4.55      1835.33
2022-11-22          11         0.02      1835.36
2022-11-23          10         2.70      1838.05
2022-11-24           4         1.96      1840.01
2022-11-25           8         1.23      1841.25
2022-11-26           3         1.66      1842.90
2022-11-27          39         4.77      1847.67
2022-11-28          15         7.43      1855.09
2022-11-29           5        33.97      1889.06
2022-11-30           4         3.07      1892.13
2022-12-01           5         6.16      1898.29
2022-12-02           8         1.90      1900.20
2022-12-03           2         0.01      1900.21
2022-12-04           6         4.93      1905.14
2022-12-05          24         7.45      1912.60
2022-12-06          16        13.95      1926.55
2022-12-07          13         2.70      1929.25
2022-12-08          44         5.27      1934.52
2022-12-09           6         2.61      1937.13
2022-12-10           5         0.88      1938.01
2022-12-11           4         1.64      1939.65
2022-12-12           8        28.09      1967.74
2022-12-13           3         6.53      1974.26
2022-12-14           8         1.45      1975.72
2022-12-15           1         2.00      1977.72
2022-12-16           5        31.27      2008.99
2022-12-17          18        20.65      2029.63
2022-12-19          12        22.49      2052.12
2022-12-20          11         1.18      2053.31
2022-12-21           6        28.76      2082.07
2022-12-22          23         6.95      2089.02
2022-12-23           2         0.00      2089.02
2022-12-24           6         0.40      2089.43
2022-12-25           7         1.80      2091.23
2022-12-26          13        19.06      2110.29
2022-12-27           4         0.74      2111.03
2022-12-28           8         6.48      2117.51
2022-12-29          26        10.50      2128.01
2022-12-30           4         0.53      2128.54
2022-12-31          14         1.51      2130.05
2023-01-01           2        31.86      2161.91
2023-01-02           4         0.57      2162.48
2023-01-03          12        13.21      2175.69
2023-01-04           8         0.65      2176.34
2023-01-05          17         8.30      2184.64
2023-01-06           9         0.20      2184.84
2023-01-07          28         0.90      2185.74
2023-01-08          17         2.35      2188.08
2023-01-09           3         0.02      2188.10
2023-01-10           5         0.75      2188.85
2023-01-11          14         0.33      2189.19
2023-01-12          22         1.62      2190.81
2023-01-13          10         0.34      2191.15
2023-01-14          18         6.35      2197.49
2023-01-15          31         0.69      2198.19
2023-01-16          14         2.62      2200.81
2023-01-17          14         2.20      2203.01
2023-01-18           3         0.90      2203.91
2023-01-19           8         5.97      2209.87
2023-01-20           9         1.22      2211.10
2023-01-21           7         0.49      2211.58
2023-01-22          25         0.75      2212.33
2023-01-23          21         3.17      2215.50
2023-01-24           5         0.15      2215.65
2023-01-25           9         0.38      2216.03
2023-01-26          10         0.56      2216.59
2023-01-27           8        32.71      2249.30
2023-01-28           4         5.33      2254.63
2023-01-29           7         1.51      2256.14
2023-01-30          28         4.39      2260.53
2023-01-31           1         0.08      2260.62
2023-02-01           3         1.14      2261.76
2023-02-02           4         0.20      2261.96
2023-02-03           4         5.53      2267.49
2023-02-04          20         6.97      2274.45
2023-02-05          18         0.36      2274.82
2023-02-06          12         2.04      2276.86
2023-02-07           9         0.01      2276.87
2023-02-08           3         1.36      2278.23
2023-02-09           1         0.05      2278.28
2023-02-10           2         0.20      2278.48
2023-02-11           3         1.02      2279.50
2023-02-12          17         0.22      2279.72
2023-02-13           5         1.17      2280.89
2023-02-14           3         1.23      2282.11
2023-02-15          14         1.24      2283.35
2023-02-16          19         0.89      2284.24
2023-02-17           3         0.00      2284.24
2023-02-18          16         2.10      2286.34
2023-02-19          14        21.74      2308.08
2023-02-20           8         4.87      2312.95
2023-02-21           4         0.06      2313.01
2023-02-22          16        32.81      2345.82
2023-02-23           4         0.11      2345.93
2023-02-24          19         0.11      2346.04
2023-02-25          13         0.82      2346.87
2023-02-26          26         5.17      2352.04
2023-02-27           4         0.01      2352.05
2023-02-28           6         4.90      2356.95
2023-03-01           7         1.47      2358.41
2023-03-02           9         0.29      2358.70
2023-03-03          21         3.47      2362.17
2023-03-04           1         0.00      2362.18
2023-03-05           4         0.85      2363.03
2023-03-06           2         0.05      2363.08
2023-03-07           6         0.99      2364.07
2023-03-08           2         0.46      2364.53
2023-03-09           9        11.44      2375.97
2023-03-10          74         8.94      2384.90
2023-03-11           3         0.35      2385.26
2023-03-12          21         2.40      2387.66
2023-03-13          12         0.29      2387.94
2023-03-14          44         7.81      2395.75
2023-03-15          10         4.76      2400.51
2023-03-16          11         6.37      2406.88
2023-03-17          17         1.04      2407.92
2023-03-18          33         2.75      2410.68
2023-03-19          26         0.67      2411.35
2023-03-20           5         0.85      2412.20
2023-03-21          27         0.84      2413.04
2023-03-22           3         0.62      2413.66
2023-03-23           3         0.56      2414.22
2023-03-24          12         2.10      2416.32
2023-03-25          41         3.17      2419.50
2023-03-26           6         2.10      2421.59
2023-03-27           8         6.14      2427.74
2023-03-28           9         0.74      2428.48
2023-03-29           9         0.43      2428.90
2023-03-31           5        32.01      2460.92
2023-04-01          18        15.36      2476.28
2023-04-02           8         0.04      2476.32
2023-04-03           5         0.37      2476.69
2023-04-04           4         0.17      2476.86
2023-04-05           8         2.03      2478.90
2023-04-06          11         0.24      2479.14
2023-04-07           5         1.80      2480.94
2023-04-08           7         0.01      2480.95
2023-04-09           3         1.18      2482.13
2023-04-10           8         0.78      2482.90
2023-04-11          11         4.76      2487.66
2023-04-12           4         0.01      2487.67
2023-04-13           7         0.12      2487.79
2023-04-14           9         0.66      2488.45
2023-04-15          21         5.31      2493.76
2023-04-16          13         4.54      2498.31
2023-04-17          10         1.89      2500.20
2023-04-18          21         1.90      2502.11
2023-04-19          33        38.15      2540.26
2023-04-20          10         1.61      2541.87
2023-04-21          12         1.44      2543.31
2023-04-22          42         6.89      2550.20
2023-04-23          33         3.29      2553.50
2023-04-24          13         0.05      2553.55
2023-04-25          24         4.53      2558.08
2023-04-26          47         3.96      2562.04
2023-04-27           4        16.78      2578.82
2023-04-28          10        32.77      2611.59
2023-04-29           6         0.49      2612.08
2023-04-30          11         3.26      2615.34
2023-05-01           9         1.06      2616.40
2023-05-02           2         0.08      2616.48
2023-05-03           2         0.13      2616.62
2023-05-04           1         0.03      2616.64
2023-05-05           2         0.18      2616.83
2023-05-06          13         1.30      2618.13
2023-05-07           4         1.68      2619.81
2023-05-08           6         1.79      2621.60
2023-05-09           2         1.14      2622.74
2023-05-10           6         0.85      2623.60
2023-05-11           9         0.59      2624.19
2023-05-12          80         4.11      2628.30
2023-05-13          12         4.03      2632.33
2023-05-14           5         0.12      2632.45
2023-05-15           3         0.04      2632.49
2023-05-16           5         0.10      2632.59
2023-05-17           4         0.73      2633.32
2023-05-18           6         0.71      2634.04
2023-05-19           9         0.53      2634.57
2023-05-20           3         0.28      2634.85
2023-05-21          15         0.63      2635.47
2023-05-22           7         2.06      2637.54
2023-05-23          17         1.64      2639.18
2023-05-24          16         2.29      2641.47
2023-05-25           4         0.99      2642.45
2023-05-26           2         0.22      2642.67
2023-05-27           3         0.97      2643.65
2023-05-28           8        14.56      2658.20
2023-05-29           3         0.03      2658.23
2023-05-30           1        31.69      2689.92
2023-05-31          16         1.80      2691.72
2023-06-01         192        18.11      2709.82
2023-06-02           7         5.16      2714.99
2023-06-03          30         0.16      2715.15
2023-06-04          24         1.52      2716.67
2023-06-05          34         6.01      2722.68
2023-06-06          33         7.46      2730.14
2023-06-07          10         2.02      2732.16
2023-06-08          29         8.48      2740.64
2023-06-09           7         0.31      2740.95
2023-06-10           6         0.09      2741.05
2023-06-11          53         0.69      2741.74
2023-06-12         198         2.27      2744.01
2023-06-13           6         1.35      2745.36
2023-06-14          12         1.49      2746.85
2023-06-16          17        12.86      2759.71
2023-06-17           5         0.36      2760.08
2023-06-18           3         0.80      2760.88
2023-06-19           7         6.69      2767.57
2023-06-20         114        16.05      2783.62
2023-06-21          24         2.21      2785.83
2023-06-22           9         3.02      2788.85
2023-06-23           6         0.02      2788.87
2023-06-24           1         0.03      2788.90
2023-06-25           9         5.28      2794.18
2023-06-26          23         0.45      2794.63
2023-06-27           5         0.03      2794.66
2023-06-28           4         0.08      2794.74
2023-06-29          32         1.25      2795.99
2023-06-30          31         3.60      2799.59
2023-07-01          32         9.74      2809.32
2023-07-02          26         0.88      2810.20
2023-07-03           3         1.01      2811.22
2023-07-04          34         0.47      2811.69
2023-07-05           3         0.15      2811.84
2023-07-06           6         0.51      2812.35
